Date,Open,High,Low,Close,Adj Close,Volume
2020-11-20,0.083908,0.088310,0.083775,0.088307,0.088307,177052672
2020-11-21,0.088307,0.108930,0.088307,0.108405,0.108405,646627498
2020-11-22,0.108405,0.113919,0.097502,0.103526,0.103526,689900728
2020-11-23,0.103526,0.131100,0.101743,0.130599,0.130599,881252331
2020-11-24,0.130651,0.196500,0.130651,0.195480,0.195480,3759466315
2020-11-25,0.195058,0.229780,0.183562,0.195202,0.195202,3400050501
2020-11-26,0.194962,0.204134,0.147946,0.167548,0.167548,2426960775
2020-11-27,0.167805,0.206409,0.163880,0.206409,0.206409,2262645472
2020-11-28,0.206660,0.219057,0.196406,0.200203,0.200203,2016734578
2020-11-29,0.200298,0.202338,0.189708,0.194224,0.194224,987586583
2020-11-30,0.194195,0.204532,0.189645,0.202093,0.202093,1061790831
2020-12-01,0.202160,0.203534,0.177947,0.184425,0.184425,917146767
2020-12-02,0.184473,0.187982,0.178353,0.185151,0.185151,588076706
2020-12-03,0.185249,0.189407,0.180338,0.184304,0.184304,489435452
2020-12-04,0.184328,0.188008,0.160720,0.162855,0.162855,575389419
2020-12-05,0.162703,0.175897,0.160525,0.171718,0.171718,428643561
2020-12-06,0.171730,0.179620,0.168093,0.175630,0.175630,410343063
2020-12-07,0.175632,0.175955,0.165773,0.168460,0.168460,317729160
2020-12-08,0.168471,0.168471,0.150182,0.152803,0.152803,432945452
2020-12-09,0.152774,0.173848,0.140441,0.172224,0.172224,935284783
2020-12-10,0.172295,0.176810,0.161102,0.161102,0.161102,770957773
2020-12-11,0.161112,0.164297,0.151180,0.151180,0.151180,608768064
2020-12-12,0.151131,0.164039,0.150714,0.158950,0.158950,509594961
2020-12-13,0.158959,0.179206,0.155900,0.174852,0.174852,689055367
2020-12-14,0.175201,0.178075,0.166990,0.169762,0.169762,522592210
2020-12-15,0.169788,0.176260,0.165491,0.166557,0.166557,469193894
2020-12-16,0.166502,0.191815,0.159912,0.191401,0.191401,1059791080
2020-12-17,0.191270,0.206463,0.180859,0.185935,0.185935,1664078484
2020-12-18,0.185971,0.188986,0.177644,0.185127,0.185127,822786727
2020-12-19,0.185072,0.187856,0.180467,0.181837,0.181837,483210984
2020-12-20,0.181832,0.181987,0.175738,0.176979,0.176979,459139596
2020-12-21,0.176974,0.179914,0.161052,0.166357,0.166357,509445346
2020-12-22,0.166178,0.169725,0.154086,0.162185,0.162185,661299925
2020-12-23,0.162213,0.162241,0.113173,0.126471,0.126471,1192456990
2020-12-24,0.126820,0.165288,0.125073,0.159620,0.159620,1571608569
2020-12-25,0.159195,0.166570,0.148837,0.152587,0.152587,864019522
2020-12-26,0.152519,0.155128,0.144831,0.147047,0.147047,532755621
2020-12-27,0.147044,0.154930,0.135361,0.144973,0.144973,758476186
2020-12-28,0.145099,0.154212,0.142134,0.144375,0.144375,578664860
2020-12-29,0.144359,0.148768,0.129052,0.138815,0.138815,762785956
2020-12-30,0.138760,0.139266,0.129891,0.131913,0.131913,555793351
2020-12-31,0.131989,0.132160,0.124408,0.128370,0.128370,484196978
2021-01-01,0.128321,0.139801,0.127367,0.132408,0.132408,493194345
2021-01-02,0.132471,0.134618,0.127561,0.127820,0.127820,463295709
2021-01-03,0.127847,0.138974,0.124531,0.136423,0.136423,694141229
2021-01-04,0.136644,0.165951,0.130889,0.165180,0.165180,1650893150
2021-01-05,0.165094,0.209966,0.151998,0.194823,0.194823,2558465429
2021-01-06,0.194671,0.383481,0.194237,0.340793,0.340793,10408578427
2021-01-07,0.343158,0.402339,0.297414,0.315797,0.315797,6253336842
2021-01-08,0.315623,0.330490,0.269229,0.302836,0.302836,3650270362
2021-01-09,0.302710,0.330180,0.286515,0.311935,0.311935,2262748352
2021-01-10,0.312166,0.326392,0.267365,0.288749,0.288749,1949483668
2021-01-11,0.288331,0.288331,0.214559,0.272238,0.272238,2510439297
2021-01-12,0.272099,0.310917,0.256877,0.281743,0.281743,2951493960
2021-01-13,0.281518,0.307950,0.277566,0.304022,0.304022,1932760186
2021-01-14,0.304195,0.319328,0.288188,0.302620,0.302620,1746390818
2021-01-15,0.302697,0.310724,0.263460,0.284941,0.284941,1546747797
2021-01-16,0.284786,0.309605,0.278850,0.292019,0.292019,1576551021
2021-01-17,0.291908,0.318398,0.288035,0.303566,0.303566,1884116937
2021-01-18,0.303366,0.307442,0.295037,0.303611,0.303611,1011246742
2021-01-19,0.303752,0.317401,0.296744,0.299405,0.299405,1530976794
2021-01-20,0.299090,0.301187,0.277111,0.294351,0.294351,1160924328
2021-01-21,0.294397,0.294691,0.246203,0.252603,0.252603,1083947046
2021-01-22,0.252395,0.280236,0.229391,0.270501,0.270501,1392207582
2021-01-23,0.269934,0.277927,0.264482,0.269755,0.269755,875595181
2021-01-24,0.269684,0.281912,0.263895,0.271556,0.271556,806028759
2021-01-25,0.271473,0.276463,0.261377,0.262179,0.262179,713468709
2021-01-26,0.262006,0.264865,0.250420,0.261567,0.261567,670565995
2021-01-27,0.261600,0.261921,0.231787,0.239070,0.239070,669146236
2021-01-28,0.238921,0.301295,0.233803,0.292241,0.292241,1470789190
2021-01-29,0.304425,0.366745,0.287883,0.294674,0.294674,5357767876
2021-01-30,0.294144,0.353560,0.280146,0.324866,0.324866,3891286887
2021-01-31,0.324993,0.336867,0.297156,0.305702,0.305702,2305438899
2021-02-01,0.305749,0.359450,0.295178,0.321835,0.321835,3711837885
2021-02-02,0.321843,0.346097,0.317043,0.336620,0.336620,2229603871
2021-02-03,0.336899,0.344990,0.328767,0.342151,0.342151,1486186863
2021-02-04,0.342194,0.345249,0.313897,0.325229,0.325229,1554404275
2021-02-05,0.325139,0.357348,0.325063,0.349607,0.349607,2146857567
2021-02-06,0.349286,0.391802,0.336326,0.376300,0.376300,2538410914
2021-02-07,0.376046,0.416517,0.365365,0.383473,0.383473,5026694578
2021-02-08,0.383338,0.398869,0.372931,0.395606,0.395606,2542466582
2021-02-09,0.395263,0.400816,0.383601,0.396737,0.396737,1818075317
