Date,Price,Open,High,Low,Vol.,Change %
15-Sep-21,23.801,23.865,23.94,23.67,32.69K,-0.0035
14-Sep-21,23.885,23.775,23.98,23.435,42.44K,0.0037
13-Sep-21,23.796,23.79,23.89,23.36,47.76K,-0.0003
12-Sep-21,23.802,23.815,23.835,23.78,-,-0.0041
10-Sep-21,23.9,24.1,24.345,23.76,39.09K,-0.0115
9-Sep-21,24.177,23.995,24.355,23.865,43.41K,0.005
8-Sep-21,24.056,24.39,24.48,23.94,45.43K,-0.013
7-Sep-21,24.373,24.865,24.895,24.21,69.93K,-0.0149
6-Sep-21,24.742,24.808,24.887,24.707,-,-0.0028
5-Sep-21,24.812,24.797,24.867,24.775,-,0.0004
3-Sep-21,24.802,23.95,24.945,23.91,67.19K,0.037
2-Sep-21,23.918,24.2,24.275,23.815,36.86K,-0.0125
1-Sep-21,24.221,23.935,24.325,23.775,48.67K,0.009
31-Aug-21,24.006,24.065,24.27,23.83,44.56K,0
30-Aug-21,24.006,24.13,24.28,23.95,47.98K,-0.0059
29-Aug-21,24.148,24.078,24.163,24.06,-,0.0016
27-Aug-21,24.11,23.61,24.18,23.355,61.30K,0.0218
26-Aug-21,23.596,23.93,23.945,23.465,35.44K,-0.0095
25-Aug-21,23.822,23.915,23.96,23.64,32.16K,-0.0048
24-Aug-21,23.937,23.695,24.015,23.595,19.86K,0.0119
23-Aug-21,23.656,22.985,23.705,22.925,57.34K,0.0309
22-Aug-21,22.948,22.973,23.04,22.938,-,-0.0071
20-Aug-21,23.112,23.21,23.3,22.835,55.72K,-0.0051
19-Aug-21,23.23,23.5,23.515,23.08,51.43K,-0.0082
18-Aug-21,23.422,23.66,23.83,23.265,46.29K,-0.01
17-Aug-21,23.659,23.84,23.955,23.565,42.59K,-0.0055
16-Aug-21,23.791,23.745,23.89,23.38,42.36K,0.0052
15-Aug-21,23.668,23.715,23.753,23.663,-,-0.0047
13-Aug-21,23.779,23.155,23.83,23.13,53.76K,0.0287
12-Aug-21,23.116,23.515,23.53,22.97,66.98K,-0.0158
11-Aug-21,23.488,23.325,23.565,23.19,70.05K,0.0041
10-Aug-21,23.392,23.45,23.675,23.22,62.93K,0.0053
9-Aug-21,23.269,24.34,24.38,22.295,118.53K,-0.0135
8-Aug-21,23.587,24.332,24.38,22.295,-,-0.0304
6-Aug-21,24.326,25.195,25.23,24.205,113.95K,-0.0382
5-Aug-21,25.292,25.425,25.565,25.115,42.43K,-0.0066
4-Aug-21,25.461,25.59,26.09,25.375,72.93K,-0.0047
3-Aug-21,25.582,25.47,25.665,25.27,45.85K,0.0003
2-Aug-21,25.575,25.625,25.675,25.345,52.01K,0.0005
1-Aug-21,25.562,25.53,25.575,25.512,-,0.0006
30-Jul-21,25.547,25.6,25.685,25.395,43.33K,-0.0091
29-Jul-21,25.782,25.015,25.875,25,70.55K,0.0364
28-Jul-21,24.877,24.73,25.06,24.655,54.85K,0.0092
27-Jul-21,24.649,25.255,25.32,24.515,80.91K,-0.0264
26-Jul-21,25.318,25.27,25.51,25.175,40.29K,0.0039
25-Jul-21,25.22,25.227,25.227,25.214,-,-0.0005
23-Jul-21,25.233,25.48,25.535,25.05,39.88K,-0.0058
22-Jul-21,25.381,25.33,25.515,25.06,48.08K,0.005
21-Jul-21,25.255,24.975,25.365,24.79,50.53K,0.0104
20-Jul-21,24.995,25.24,25.315,24.84,64.68K,-0.0059
19-Jul-21,25.144,25.7,25.805,25.035,86.39K,-0.0234
18-Jul-21,25.747,25.707,25.753,25.665,-,-0.0019
16-Jul-21,25.795,26.43,26.55,25.64,78.28K,-0.0227
15-Jul-21,26.394,26.325,26.49,26.245,35.26K,0.0047
14-Jul-21,26.271,26.055,26.575,26.01,65.10K,0.005
13-Jul-21,26.14,26.32,26.44,26.005,50.73K,-0.0038
12-Jul-21,26.239,26.185,26.375,25.93,43.37K,0.0018
11-Jul-21,26.192,26.198,26.212,26.175,-,-0.0016
9-Jul-21,26.234,26.005,26.3,25.82,45.50K,0.0095
8-Jul-21,25.987,26.265,26.31,25.875,59.52K,-0.0054
7-Jul-21,26.129,26.265,26.545,26.06,50.06K,-0.0017
6-Jul-21,26.174,26.64,26.91,26.1,80.50K,-0.0137
5-Jul-21,26.538,26.698,26.745,26.503,-,0.0014
2-Jul-21,26.501,26.145,26.7,26.1,57.34K,0.0154
1-Jul-21,26.1,26.25,26.525,26.045,54.77K,-0.0036
30-Jun-21,26.194,25.875,26.275,25.8,44.64K,0.0113
29-Jun-21,25.901,26.235,26.235,25.58,75.84K,-0.0134
28-Jun-21,26.254,26.22,26.335,25.875,40.54K,0.0024
27-Jun-21,26.192,26.098,26.218,26.098,-,0.0025
25-Jun-21,26.126,26.055,26.415,26.01,31.54K,0.0014
24-Jun-21,26.089,25.98,26.28,25.905,25.31K,-0.0024
23-Jun-21,26.152,25.89,26.41,25.85,23.74K,0.0098
22-Jun-21,25.898,26.02,26.12,25.775,13.53K,-0.0064
21-Jun-21,26.065,25.895,26.17,25.615,13.28K,0.0052
20-Jun-21,25.93,25.835,25.977,25.83,-,-0.003
18-Jun-21,26.009,25.995,26.59,25.81,17.96K,0.0045
17-Jun-21,25.892,27.05,27.36,25.855,26.94K,-0.0702
16-Jun-21,27.848,27.84,28.005,26.74,9.78K,0.0043
15-Jun-21,27.73,28.05,28.07,27.52,10.06K,-0.0123
14-Jun-21,28.074,28.105,28.185,27.605,7.69K,0.0043
13-Jun-21,27.955,28.05,28.122,27.948,-,-0.008
11-Jun-21,28.18,28.175,28.465,28.055,19.57K,0.0042
10-Jun-21,28.062,27.91,28.21,27.515,20.04K,0.0011
9-Jun-21,28.032,27.75,28.165,27.66,14.58K,0.0097
8-Jun-21,27.762,28.06,28.145,27.645,16.40K,-0.0103
7-Jun-21,28.05,27.945,28.115,27.635,16.96K,0.0062
6-Jun-21,27.878,27.918,27.918,27.863,-,-0.0017
4-Jun-21,27.926,27.585,28.01,27.355,4.68K,0.0153
3-Jun-21,27.506,28.33,28.395,27.125,5.01K,-0.0258
2-Jun-21,28.235,28.03,28.35,27.815,4.05K,0.0036
1-Jun-21,28.134,28.08,28.735,27.965,4.75K,-0.0021
31-May-21,28.192,28.055,28.258,27.997,-,0.0048
30-May-21,28.058,28.06,28.085,28.035,-,0.0005
28-May-21,28.045,28.005,28.12,27.515,2.81K,0.0026
27-May-21,27.971,27.805,28.02,27.635,3.28K,0.0023
26-May-21,27.907,28.15,28.355,27.73,2.34K,-0.0064
25-May-21,28.086,27.895,28.18,27.595,2.99K,0.0055
24-May-21,27.932,27.71,28.035,27.585,2.20K,0.0099
23-May-21,27.657,27.648,27.677,27.598,-,0.0053
21-May-21,27.51,27.885,28.2,27.31,2.87K,-0.0207
20-May-21,28.091,27.87,28.145,27.525,2.12K,0.0016
19-May-21,28.047,28.32,28.35,27.46,3.35K,-0.011
18-May-21,28.358,28.385,28.92,28.15,2.67K,0.0021
17-May-21,28.298,27.535,28.455,27.475,2.76K,0.026
16-May-21,27.582,27.483,27.61,27.455,-,0.007
14-May-21,27.39,27.22,27.605,26.955,1.83K,0.0113
13-May-21,27.083,27.11,27.33,26.815,3.28K,-0.0067
12-May-21,27.267,27.775,27.83,27.05,3.59K,-0.0153
11-May-21,27.69,27.4,27.795,27.215,3.04K,0.0063
10-May-21,27.517,27.69,28.01,27.375,2.94K,-0.009
9-May-21,27.767,27.56,27.78,27.56,-,0.0096
7-May-21,27.502,27.415,27.795,27.27,2.44K,0
6-May-21,27.503,26.59,27.605,26.31,4.53K,0.036
5-May-21,26.548,26.565,26.72,26.2,2.55K,-0.0013
4-May-21,26.583,27.04,27.265,26.205,3.59K,-0.015
3-May-21,26.988,26.005,27.13,25.93,3.65K,0.0413
2-May-21,25.918,25.98,25.983,25.89,-,0.0007
30-Apr-21,25.9,26.2,26.295,25.885,3.49K,-0.0082
29-Apr-21,26.115,26.425,26.585,25.82,2.83K,-0.0014
28-Apr-21,26.151,26.23,26.385,25.91,1.25K,-0.0126
27-Apr-21,26.484,26.23,26.55,26.23,1.32K,0.0079
26-Apr-21,26.276,26.2,26.345,25.995,0.51K,0.0108
25-Apr-21,25.995,25.992,26.045,25.965,-,-0.0056
23-Apr-21,26.142,26.265,26.405,25.96,1.59K,-0.004
22-Apr-21,26.247,26.705,26.705,26.125,0.64K,-0.0145
21-Apr-21,26.632,25.945,26.77,25.945,1.88K,0.0281
20-Apr-21,25.904,26.03,26.08,25.885,1.29K,0.0001
19-Apr-21,25.902,26,26.29,25.76,0.91K,-0.0033
18-Apr-21,25.988,26.035,26.062,25.973,-,-0.0069
16-Apr-21,26.169,25.945,26.37,25.905,0.29K,0.0055
15-Apr-21,26.026,25.715,26.12,25.455,1.08K,0.017
14-Apr-21,25.59,25.44,25.59,25.34,1.12K,0.0039
13-Apr-21,25.491,24.8,25.575,24.8,1.89K,0.0225
12-Apr-21,24.931,25.21,25.335,24.8,1.18K,-0.0148
11-Apr-21,25.305,25.315,25.32,25.253,-,-0.0033
9-Apr-21,25.389,25.575,25.575,25.1,1.24K,-0.0103
8-Apr-21,25.653,25.1,25.725,25.1,2.51K,0.0135
7-Apr-21,25.312,25.27,25.335,25.01,0.54K,0.0004
6-Apr-21,25.302,25.1,25.4,24.99,0.49K,0.018
5-Apr-21,24.855,25.065,25.1,24.8,0.49K,-0.0077
4-Apr-21,25.047,25.003,25.062,24.965,-,0.0011
1-Apr-21,25.02,24.415,25.06,24.415,63.17K,0.0167
31-Mar-21,24.609,24.06,24.62,23.825,0.42K,0.0165
30-Mar-21,24.209,24.68,24.82,23.995,0.34K,-0.0254
29-Mar-21,24.841,25.05,25.05,24.6,0.28K,-0.0096
28-Mar-21,25.082,25.133,25.145,25.038,-,-0.0041
26-Mar-21,25.184,25.35,25.35,25,0.19K,0.003
25-Mar-21,25.108,25.2,25.265,24.555,0.65K,-0.0074
24-Mar-21,25.295,25.25,25.475,25.2,0.43K,0.0004
23-Mar-21,25.285,25.765,25.795,25.125,0.24K,-0.0206
22-Mar-21,25.818,26.05,26.05,25.645,0.27K,-0.0052
21-Mar-21,25.953,26.337,26.337,25.933,-,-0.0159
19-Mar-21,26.371,26.22,26.385,26.195,0.83K,-0.0012
18-Mar-21,26.404,26.51,26.7,25.97,0.17K,0.0111
17-Mar-21,26.113,25.97,26.55,25.97,0.18K,0.0021
16-Mar-21,26.058,26.38,26.44,25.98,0.15K,-0.011
15-Mar-21,26.348,26.065,26.37,26.065,0.33K,0.0111
14-Mar-21,26.058,25.983,26.157,25.977,-,0.0039
12-Mar-21,25.958,25.775,26.005,25.55,0.46K,-0.011
11-Mar-21,26.246,26.255,26.41,26.09,0.90K,0.0023
10-Mar-21,26.186,26.095,26.215,25.725,0.45K,-0.0021
9-Mar-21,26.241,25.555,26.255,25.48,0.69K,0.0362
8-Mar-21,25.324,25.7,25.96,25.055,0.90K,-0.0065
7-Mar-21,25.49,25.39,25.615,25.39,-,0.0053
5-Mar-21,25.355,25.33,25.53,24.975,1.07K,-0.0067
4-Mar-21,25.527,26.255,26.395,25.235,0.92K,-0.0349
3-Mar-21,26.451,26.835,26.835,25.94,0.60K,-0.0179
2-Mar-21,26.933,26.5,27.025,25.875,0.70K,0.0077
1-Mar-21,26.728,26.855,27.1,26.595,0.94K,-0.0039
28-Feb-21,26.832,26.668,26.84,26.63,-,0.0126
26-Feb-21,26.498,27.58,27.58,26.35,0.62K,-0.0445
25-Feb-21,27.733,28.08,28.31,27.4,0.48K,-0.0082
24-Feb-21,27.963,27.835,28.03,27.515,0.26K,0.0065
23-Feb-21,27.782,28.05,28.145,27.595,0.53K,-0.0136
22-Feb-21,28.166,27.62,28.385,27.465,0.55K,0.0251
21-Feb-21,27.477,27.308,27.63,27.308,-,0.0057
19-Feb-21,27.321,26.25,27.7,26.25,0.57K,0.0069
18-Feb-21,27.134,27.475,27.535,27.085,0.30K,-0.0083
17-Feb-21,27.362,27.23,27.485,26.965,0.22K,-0.0003
16-Feb-21,27.369,27.695,28.07,27.235,0.94K,-0.0109
15-Feb-21,27.672,27.503,27.802,27.468,-,0.0059
14-Feb-21,27.51,27.395,27.615,27.395,-,0.0047
12-Feb-21,27.38,27.3,27.515,27.155,0.80K,0.0097
11-Feb-21,27.118,26.925,27.4,26.925,1.00K,-0.0006
10-Feb-21,27.134,27.53,27.55,27.025,0.93K,-0.0114
9-Feb-21,27.448,27.515,27.735,27.265,0.98K,-0.0056
8-Feb-21,27.602,27.325,27.7,27,0.91K,0.0095
7-Feb-21,27.343,27.027,27.39,26.825,-,0.0104
5-Feb-21,27.062,26.725,27.155,26.575,1.66K,0.0279
4-Feb-21,26.327,26.54,26.78,26.145,0.71K,-0.0243
3-Feb-21,26.982,27.04,27.135,26.915,0.88K,0.0194
2-Feb-21,26.469,28.425,28.425,26.44,1.05K,-0.0986
1-Feb-21,29.364,28.55,29.93,28.405,2.17K,0.0189
31-Jan-21,28.82,27.055,29.223,27.055,-,0.0659
29-Jan-21,27.037,26.725,27.83,26.43,0.98K,0.0376
28-Jan-21,26.058,25.25,27.04,25.25,0.58K,0.02
27-Jan-21,25.548,25.325,25.555,25,0.15K,-0.006
26-Jan-21,25.701,25.57,25.645,25.57,0.14K,0.002
25-Jan-21,25.65,25.75,25.885,25.43,0.29K,0.0014
24-Jan-21,25.615,25.497,25.68,25.455,-,-0.004
22-Jan-21,25.717,25.98,25.98,25.335,0.26K,-0.0116
21-Jan-21,26.02,26.225,26.225,25.925,0.41K,0.0034
20-Jan-21,25.933,25.62,26.105,25.62,0.37K,0.0168
19-Jan-21,25.505,24.5,25.505,24.48,0.29K,0.0184
18-Jan-21,25.045,24.25,25.2,24.25,-,0.0327
17-Jan-21,24.253,24.812,24.89,24.22,-,-0.032
15-Jan-21,25.054,25.67,25.69,24.84,0.87K,-0.0363
14-Jan-21,25.997,25.325,26.145,25.325,0.80K,0.0089
13-Jan-21,25.768,25.825,25.825,25.53,0.76K,0.0051
12-Jan-21,25.637,25.4,25.925,25.39,0.75K,0.0062
11-Jan-21,25.478,25.625,25.625,24.575,0.96K,0.0137
10-Jan-21,25.133,25.358,25.59,24.915,-,0.0116
8-Jan-21,24.845,26.865,27,24.8,0.89K,-0.0957
7-Jan-21,27.473,27.5,27.58,27.3,0.46K,0.0074
6-Jan-21,27.27,28.155,28.155,27.145,0.61K,-0.0214
5-Jan-21,27.867,27.645,27.95,27.645,0.75K,0.0103
4-Jan-21,27.584,27,27.83,27,0.92K,0.0213
3-Jan-21,27.008,26.56,27.085,26.552,-,0.0182
1-Jan-21,26.525,26.525,26.525,26.525,-,-0.0024
31-Dec-20,26.589,26.825,26.88,26.575,0.27K,-0.0061
30-Dec-20,26.753,26.55,26.815,26.55,0.27K,0.0138
29-Dec-20,26.388,26.375,26.715,26.3,0.16K,-0.0118
28-Dec-20,26.704,26.5,26.925,26.5,0.14K,0.0156
27-Dec-20,26.295,25.91,26.305,25.91,-,0.0087
24-Dec-20,26.069,25.75,25.75,25.75,0.04K,-0.0002
23-Dec-20,26.075,25.655,25.685,25.655,0.14K,0.0151
22-Dec-20,25.688,26.05,26.335,25.68,0.35K,-0.0313
21-Dec-20,26.519,26.265,27.175,25.56,0.14K,0.0194
20-Dec-20,26.015,26.075,26.075,26.005,-,-0.0059
18-Dec-20,26.169,26.07,26.23,26.07,0.09K,-0.006
17-Dec-20,26.327,26.3,26.325,26.3,0.09K,0.0449
16-Dec-20,25.195,25.395,25.425,25,0.16K,0.0169
15-Dec-20,24.777,24.33,24.74,24.33,0.05K,0.0247
14-Dec-20,24.179,24.19,24.195,24.1,0.23K,0.0044
13-Dec-20,24.073,24.062,24.165,24.038,-,-0.0059
11-Dec-20,24.217,24.27,24.29,24.205,0.18K,-0.0002
10-Dec-20,24.223,24.35,24.385,24.185,0.24K,0.0037
9-Dec-20,24.133,24.55,24.55,24.1,0.24K,-0.03
8-Dec-20,24.88,25.02,25.035,24.805,0.20K,-0.0039
7-Dec-20,24.977,24.34,25.11,24.165,0.19K,0.0298
6-Dec-20,24.255,24.285,24.365,24.215,-,-0.0073
4-Dec-20,24.434,24.615,24.645,24.615,0.09K,0.0051
3-Dec-20,24.309,24.205,24.345,24.065,0.09K,0.0021
2-Dec-20,24.259,24.36,24.535,24.04,0.18K,-0.001
1-Dec-20,24.283,23.735,24.29,23.735,0.21K,0.065
30-Nov-20,22.8,22.625,22.94,22.535,0.26K,0.0029
29-Nov-20,22.735,22.78,22.785,22.727,-,-0.0053
27-Nov-20,22.857,23.1,23.1,22.845,0.08K,-0.0154
26-Nov-20,23.215,23.395,23.505,23.19,-,-0.019
25-Nov-20,23.665,23.685,23.785,23.685,0.12K,0.0015
24-Nov-20,23.63,23.56,23.56,23.56,0.05K,-0.0142
23-Nov-20,23.971,24.38,24.38,23.8,0.11K,-0.0119
22-Nov-20,24.26,24.207,24.262,24.148,-,-0.0176
20-Nov-20,24.694,24.8,24.88,24.775,0.22K,0.013
19-Nov-20,24.378,24.185,24.205,24.185,0.01K,-0.0165
18-Nov-20,24.786,24.825,24.825,24.77,0.01K,-0.0081
17-Nov-20,24.989,24.91,25.05,24.775,0.18K,-0.0068
16-Nov-20,25.159,25.35,25.365,24.685,0.03K,0.0155
15-Nov-20,24.775,24.738,24.83,24.725,-,-0.0153
13-Nov-20,25.16,25.075,25.195,25.075,0.03K,0.019
12-Nov-20,24.692,24.755,24.755,24.625,0.20K,0.0019
11-Nov-20,24.645,24.62,24.62,24.33,0.17K,-0.0086
10-Nov-20,24.86,24.65,24.755,24.575,0.28K,0.0316
9-Nov-20,24.099,25.245,25.245,24.07,0.25K,-0.0751
8-Nov-20,26.055,25.71,26.13,25.71,-,-0.0009
6-Nov-20,26.079,26.22,26.22,25.95,0.30K,0.0189
5-Nov-20,25.596,24.39,25.215,24.39,0.40K,0.0529
4-Nov-20,24.309,24.61,24.64,24.61,0.39K,-0.0189
3-Nov-20,24.778,24.815,24.85,24.815,0.41K,0.0109
2-Nov-20,24.511,24.64,24.64,24.5,0.36K,0.0427
1-Nov-20,23.508,23.695,23.715,23.462,-,-0.0238
30-Oct-20,24.08,23.825,24.21,23.825,0.06K,0.0123
29-Oct-20,23.787,23.445,23.825,23.445,0.07K,0.0009
28-Oct-20,23.766,24.275,24.275,24.275,0.03K,-0.0486
27-Oct-20,24.979,24.92,24.93,24.92,0.00K,0.0056
26-Oct-20,24.841,24.7,24.975,24.7,0.01K,0.0129
25-Oct-20,24.525,24.672,24.74,24.247,-,-0.023
23-Oct-20,25.103,25.1,25.215,24.97,0.04K,-0.0022
22-Oct-20,25.158,25.425,25.425,25.29,0.03K,-0.0204
21-Oct-20,25.683,25.585,25.585,25.585,0.00K,0.0097
20-Oct-20,25.437,25.005,25.42,24.835,0.16K,0.011
19-Oct-20,25.16,25.29,25.29,25.29,0.01K,0.0342
18-Oct-20,24.328,24.315,24.365,24.262,-,-0.0213
16-Oct-20,24.857,24.685,24.685,24.685,0.01K,0.0075
15-Oct-20,24.671,24.315,24.315,24.315,0.04K,-0.0088
14-Oct-20,24.889,24.66,25.02,24.595,0.00K,0.0106
13-Oct-20,24.628,25.6,25.6,24.745,0.04K,-0.0442
12-Oct-20,25.768,25.64,25.825,25.64,0.04K,0.0164
11-Oct-20,25.352,25.317,25.457,25.2,-,-0.0086
9-Oct-20,25.571,24.965,25.7,24.965,0.08K,0.0523
8-Oct-20,24.299,24.575,24.625,24.575,0.04K,-0.0028
7-Oct-20,24.368,24.055,24.17,24.05,0.07K,0.0032
6-Oct-20,24.291,24.96,24.96,24.96,0.33K,-0.0264
5-Oct-20,24.95,24.545,24.665,24.545,0.38K,0.0383
4-Oct-20,24.03,23.895,24.065,23.83,-,-0.0161
2-Oct-20,24.422,24.455,24.5,24.39,0.24K,-0.0097
1-Oct-20,24.66,24.29,24.29,24.29,0.26K,0.031
30-Sep-20,23.919,24.135,24.54,23.775,0.14K,-0.0366
29-Sep-20,24.827,24.32,24.87,24.32,0.02K,0.0359
28-Sep-20,23.967,23.525,23.85,23.525,0.02K,0.0384
27-Sep-20,23.08,23.038,23.188,22.995,-,-0.0163
25-Sep-20,23.462,23.375,23.39,23.01,0.03K,-0.0041
24-Sep-20,23.559,22.45,22.45,22.45,0.11K,0.0018
23-Sep-20,23.517,24.65,24.65,23.175,0.03K,-0.0579
22-Sep-20,24.962,25.085,25.085,25.085,0.08K,0.0052
21-Sep-20,24.832,26.525,26.525,25.075,0.02K,-0.0764
20-Sep-20,26.885,27.008,27.008,26.677,-,-0.0256
18-Sep-20,27.591,27.41,27.675,27.41,0.01K,0.0008
17-Sep-20,27.569,27.44,27.44,27.04,0.07K,-0.0137
16-Sep-20,27.951,28.055,28.065,28.055,0.01K,-0.0001
15-Sep-20,27.953,28.06,28.06,28.06,0.09K,0.0034
14-Sep-20,27.858,27.43,27.76,27.43,0.01K,0.0328
13-Sep-20,26.973,26.927,26.995,26.85,-,-0.0141
11-Sep-20,27.359,27.44,27.6,27.44,0.01K,-0.0157
10-Sep-20,27.796,27.51,27.51,27.51,0.03K,0.0061
9-Sep-20,27.628,27.145,27.555,27.145,0.08K,0.0022
8-Sep-20,27.568,27.72,27.725,27.72,0.01K,0.0186
7-Sep-20,27.065,27.047,27.38,26.828,-,0.0008
