Date,Price,Open,High,Low,Vol.,Change %
5-Nov-21,81.27,79.37,81.8,78.96,531.05K,0.0312
4-Nov-21,78.81,80.18,83.42,78.25,701.12K,-0.0254
3-Nov-21,80.86,83.07,83.08,79.69,546.58K,-0.0363
2-Nov-21,83.91,83.87,84.41,82.92,429.61K,-0.0017
1-Nov-21,84.05,83.36,84.88,82.74,412.31K,0.0057
29-Oct-21,83.57,83.09,83.74,81.41,507.31K,0.0092
28-Oct-21,82.81,82.25,83.21,80.58,491.59K,0.0018
27-Oct-21,82.66,84.39,84.51,82.01,529.95K,-0.0235
26-Oct-21,84.65,83.72,84.88,82.97,467.72K,0.0106
25-Oct-21,83.76,83.98,85.41,83.39,568.73K,0
22-Oct-21,83.76,82.61,84.22,81.76,465.36K,0.0153
21-Oct-21,82.5,83.58,83.96,80.79,567.50K,-0.0163
20-Oct-21,83.87,83.34,84.25,81.3,25.72K,0.011
19-Oct-21,82.96,82.37,83.74,81.8,82.61K,0.0063
18-Oct-21,82.44,82.6,83.87,81.84,134.10K,0.0019
15-Oct-21,82.28,81.48,82.66,81.39,277.95K,0.0119
14-Oct-21,81.31,80.59,81.68,80.38,399.81K,0.0108
13-Oct-21,80.44,80.58,81.04,79.42,487.22K,-0.0025
12-Oct-21,80.64,80.5,81.62,79.47,598.18K,0.0015
11-Oct-21,80.52,79.59,82.18,79.55,653.76K,0.0147
8-Oct-21,79.35,78.86,80.11,78.63,662.01K,0.0134
7-Oct-21,78.3,77,78.89,74.96,545.01K,0.0112
6-Oct-21,77.43,79.04,79.78,76.83,459.06K,-0.019
5-Oct-21,78.93,77.58,79.48,77.47,449.62K,0.0169
4-Oct-21,77.62,75.9,78.38,75.32,458.01K,0.0229
1-Oct-21,75.88,75.12,75.99,74.23,389.00K,0.0113
30-Sep-21,75.03,74.78,76.07,73.14,583.19K,0.0027
29-Sep-21,74.83,74.38,75.79,73.74,424.19K,-0.0061
28-Sep-21,75.29,75.43,76.67,74.24,476.14K,-0.0021
27-Sep-21,75.45,74.19,75.75,74.16,417.83K,0.0199
24-Sep-21,73.98,73.24,74.27,72.81,350.38K,0.0093
23-Sep-21,73.3,71.97,73.5,71.61,403.41K,0.0148
22-Sep-21,72.23,70.85,72.3,70.64,381.06K,0.0237
21-Sep-21,70.56,70.59,71.63,69.67,37.61K,0.0038
20-Sep-21,70.29,71.92,72.08,69.86,75.84K,-0.0233
17-Sep-21,71.97,72.62,72.72,71.21,119.93K,-0.0088
16-Sep-21,72.61,72.65,72.99,71.53,298.41K,0
15-Sep-21,72.61,70.76,73.14,70.65,418.67K,0.0305
14-Sep-21,70.46,70.64,71.22,69.98,414.23K,0.0001
13-Sep-21,70.45,69.74,70.97,69.51,390.94K,0.0105
10-Sep-21,69.72,67.97,69.96,67.68,411.08K,0.0232
9-Sep-21,68.14,69.36,69.89,67.56,556.45K,-0.0167
8-Sep-21,69.3,68.37,69.75,68.31,389.33K,0.0139
7-Sep-21,68.35,69.11,69.48,67.64,481.70K,-0.0065
6-Sep-21,68.8,68.75,69.47,68.27,-,0.0007
5-Sep-21,68.75,69.22,69.23,68.73,-,-0.0078
3-Sep-21,69.29,69.76,70.53,69.05,313.09K,-0.01
2-Sep-21,69.99,68.29,70.61,67.84,403.31K,0.0204
1-Sep-21,68.59,68.55,69.24,67.12,399.50K,0.0013
31-Aug-21,68.5,69.18,69.34,68.16,325.85K,-0.0103
30-Aug-21,69.21,69.3,69.64,67.67,360.80K,0.0068
27-Aug-21,68.74,67.75,69.05,67.52,326.06K,0.0196
26-Aug-21,67.42,68,68.31,67.02,344.29K,-0.0138
25-Aug-21,68.36,67.63,68.54,66.92,353.74K,0.0121
24-Aug-21,67.54,65.54,67.8,65.41,335.89K,0.0289
23-Aug-21,65.64,61.96,66,61.74,397.29K,0.0533
20-Aug-21,62.32,64.05,64.1,62.11,24.63K,-0.0215
19-Aug-21,63.69,64.58,64.76,62.63,88.24K,-0.027
18-Aug-21,65.46,66.58,67.48,64.34,121.20K,-0.017
17-Aug-21,66.59,67.43,67.72,66.33,235.30K,-0.0104
16-Aug-21,67.29,67.71,68.27,65.73,334.84K,-0.0168
13-Aug-21,68.44,68.91,69.22,67.77,272.03K,-0.0094
12-Aug-21,69.09,69.36,69.62,68.46,352.47K,-0.0023
11-Aug-21,69.25,68.51,69.45,66.67,513.29K,0.0141
10-Aug-21,68.29,66.85,68.9,66.56,452.13K,0.0272
9-Aug-21,66.48,67.88,67.9,65.15,598.38K,-0.0264
6-Aug-21,68.28,69.14,70.18,67.8,537.14K,-0.0117
5-Aug-21,69.09,68.06,69.35,67.61,416.33K,0.0138
4-Aug-21,68.15,70.32,70.81,67.85,582.92K,-0.0342
3-Aug-21,70.56,71.52,71.96,69.19,509.94K,-0.0098
2-Aug-21,71.26,73.91,73.95,70.55,448.20K,-0.0364
30-Jul-21,73.95,73.41,74.23,72.93,303.70K,0.0045
29-Jul-21,73.62,72.4,73.68,72.26,294.46K,0.017
28-Jul-21,72.39,71.9,72.6,71.7,318.91K,0.0103
27-Jul-21,71.65,72.22,72.33,71.08,333.12K,-0.0036
26-Jul-21,71.91,72.18,72.43,70.56,395.74K,-0.0022
23-Jul-21,72.07,71.71,72.21,71.39,274.78K,0.0022
22-Jul-21,71.91,70.22,72.03,69.86,435.18K,0.0229
21-Jul-21,70.3,66.45,70.51,66.44,503.03K,0.0427
20-Jul-21,67.42,66.6,67.65,65.21,29.74K,0.0151
