Date,Price,Open,High,Low,Vol.,Change %
15-Nov-21,536,531.1,550,531.1,0.02K,-0.0076
12-Nov-21,540.1,565.9,570.8,530.1,0.07K,-0.018
11-Nov-21,550,589.5,590,531.1,0.05K,-0.0622
10-Nov-21,586.5,588,590,580.1,0.05K,-0.0017
9-Nov-21,587.5,592,598.1,587.5,0.03K,-0.0061
8-Nov-21,591.1,595.6,629.9,591.1,0.06K,-0.0389
5-Nov-21,615,605.3,616.3,590.1,0.03K,0.0149
4-Nov-21,606,609.3,620,600,0.05K,-0.0054
3-Nov-21,609.3,579.8,624,579.8,0.09K,0.0514
2-Nov-21,579.5,575,583.4,565.8,0.06K,0.0113
1-Nov-21,573,595.2,595.2,571,0.09K,-0.0314
29-Oct-21,591.6,610.5,616.8,588.5,0.19K,-0.0359
28-Oct-21,613.6,621.7,632.4,610.7,0.17K,-0.026
27-Oct-21,630,642,642,624,0.20K,-0.0284
26-Oct-21,648.4,657.2,657.2,644.1,0.24K,-0.0176
25-Oct-21,660,668,680,650.4,0.27K,-0.0114
22-Oct-21,667.6,679,697.9,662.4,0.17K,-0.0168
21-Oct-21,679,676,691.6,662,0.19K,0.004
20-Oct-21,676.3,689.9,700.1,675,0.24K,-0.0434
19-Oct-21,707,754.7,760.6,707,0.35K,-0.0561
18-Oct-21,749,760.1,780,745,0.15K,-0.0143
15-Oct-21,759.9,765.9,779.7,746,0.16K,-0.0157
14-Oct-21,772,758.3,781.5,750.2,0.18K,0.0181
13-Oct-21,758.3,730,769.6,719.2,0.21K,0.0379
12-Oct-21,730.6,758.9,789.6,720.1,0.36K,-0.0392
11-Oct-21,760.4,725,762.8,725,0.34K,0.0549
8-Oct-21,720.8,678.9,725,670,0.48K,0.0652
7-Oct-21,676.7,631.3,676.7,630,0.23K,0.0662
6-Oct-21,634.7,646.8,648.8,626,0.08K,-0.0091
5-Oct-21,640.5,634,655,620.2,0.13K,0.0122
4-Oct-21,632.8,622,635,622,0.07K,0.0123
1-Oct-21,625.1,637.1,644.5,607.9,0.21K,-0.0038
30-Sep-21,627.5,600.5,648.5,596,0.31K,0.0346
29-Sep-21,606.5,616,624.5,603,0.16K,-0.0149
28-Sep-21,615.7,634,642,603.5,0.21K,-0.041
27-Sep-21,642,647.9,657.5,635.1,0.10K,-0.0016
24-Sep-21,643,645,655.4,633.5,0.15K,0.0066
23-Sep-21,638.8,639.2,659.7,632.7,0.23K,0.0188
22-Sep-21,627,602.9,628.8,598,0.15K,0.0415
21-Sep-21,602,603.3,618,594.3,0.19K,0.0143
20-Sep-21,593.5,623,623,592,0.16K,-0.0639
17-Sep-21,634,617,635.9,617,0.24K,0.0675
16-Sep-21,593.9,599.8,599.8,578.3,0.09K,0.307
15-Sep-21,454.4,461.4,463,454.4,0.03K,-0.0352
14-Sep-21,471,514,514,470,0.08K,-0.0684
13-Sep-21,505.6,514.9,515,500,0.04K,-0.0051
10-Sep-21,508.2,514,530,508,0.08K,0.0152
9-Sep-21,500.6,497.6,510,497.6,0.03K,0.0062
8-Sep-21,497.5,510,514,496.4,0.07K,-0.0396
7-Sep-21,518,545,587.4,511.1,0.08K,-0.0534
3-Sep-21,547.2,520.9,555,516.8,0.15K,0.0586
2-Sep-21,516.9,481.9,520.9,481.9,0.28K,0.0825
1-Sep-21,477.5,482.1,485,470,0.12K,-0.011
31-Aug-21,482.8,483.7,492,472,0.12K,-0.0014
30-Aug-21,483.5,486.6,498.5,481.1,0.21K,-0.0035
27-Aug-21,485.2,504.5,504.9,475.5,0.30K,-0.02
26-Aug-21,495.1,489.9,516,487.4,0.17K,0.0081
25-Aug-21,491.1,489,518,480.1,0.20K,0.0229
24-Aug-21,480.1,505,507.4,475.3,0.22K,-0.0375
23-Aug-21,498.8,485,511.6,477.6,0.26K,0.0508
20-Aug-21,474.7,454.2,475,448,0.30K,0.0451
19-Aug-21,454.2,470.7,492,454.1,0.31K,-0.0295
18-Aug-21,468,453.1,486.7,452,0.23K,0.0259
17-Aug-21,456.2,460,472,452.2,0.24K,-0.0312
16-Aug-21,470.9,497.9,497.9,460.3,0.29K,-0.0491
13-Aug-21,495.2,498.9,524.8,485.6,0.19K,-0.0104
12-Aug-21,500.4,485.6,518.9,480.4,0.24K,0.0132
11-Aug-21,493.9,500,507.4,482.9,0.22K,-0.0222
10-Aug-21,505.1,530.1,530.1,502.3,0.18K,-0.0472
9-Aug-21,530.1,544.7,568,528,0.15K,-0.039
6-Aug-21,551.6,520.8,557.2,513,0.25K,0.0549
5-Aug-21,522.9,540.1,552,522.2,0.27K,-0.0737
4-Aug-21,564.5,592,592,564.5,0.14K,-0.0692
3-Aug-21,606.5,625,625,601.6,0.24K,-0.0458
2-Aug-21,635.6,623.1,650,604,0.22K,0.0232
30-Jul-21,621.2,630.4,634.3,601.1,0.18K,-0.0011
29-Jul-21,621.9,620,640,593,0.31K,0.0225
28-Jul-21,608.2,559.8,620,543,0.37K,0.045
27-Jul-21,582,608,608,582,0.21K,-0.0673
26-Jul-21,624,658.2,664.4,620.3,0.21K,-0.0158
23-Jul-21,634,649,700,616.1,0.57K,-0.0201
22-Jul-21,647,600,647,590.2,0.56K,0.1079
21-Jul-21,584,584,584,555,0.35K,0.0775
20-Jul-21,542,563.3,577.2,535,0.21K,-0.0183
19-Jul-21,552.1,525,572.2,500,0.51K,0.0293
16-Jul-21,536.4,555.6,574.5,535,0.46K,0.0931
15-Jul-21,490.7,504.5,522.7,490,0.03K,-0.0589
14-Jul-21,521.4,559,575,521.4,0.04K,-0.1295
13-Jul-21,599,675,675,600,0.08K,-0.1255
12-Jul-21,685,701.5,719.5,678,0.08K,-0.0249
9-Jul-21,702.5,708.5,708.5,687.5,0.05K,-0.0216
8-Jul-21,718,758.7,758.7,705,0.07K,-0.0795
7-Jul-21,780,795,809.7,763.7,0.09K,-0.0163
6-Jul-21,792.9,751,825.6,746.7,0.11K,0.0478
2-Jul-21,756.7,739,762,731,0.07K,0.0291
1-Jul-21,735.3,716,740.1,683.3,0.08K,0.027
30-Jun-21,716,748,758,705,0.11K,-0.0554
29-Jun-21,758,780,841.2,758,0.27K,-0.0525
28-Jun-21,800,771.7,842.3,716.3,0.41K,0.0266
25-Jun-21,779.3,823.6,828.4,779.3,0.32K,-0.0748
24-Jun-21,842.3,891.6,914.4,842.3,0.45K,-0.0475
23-Jun-21,884.3,881.9,901.5,860.7,0.29K,-0.007
22-Jun-21,890.5,932.5,938,890.5,0.44K,-0.045
21-Jun-21,932.5,897.1,939.9,859.8,0.43K,0.0385
18-Jun-21,897.9,899.9,931.5,855.1,0.43K,-0.0077
17-Jun-21,904.9,937.6,988,904.9,0.47K,-0.0651
16-Jun-21,967.9,989.3,1023,967.9,0.34K,-0.0416
15-Jun-21,1009.9,950,1059.2,943.7,0.68K,0.0138
14-Jun-21,996.2,1006.5,1040,996.2,0.37K,-0.0595
11-Jun-21,1059.2,1088.1,1088.1,1059.2,0.29K,-0.0561
10-Jun-21,1122.2,1164.1,1168,1122.2,0.23K,-0.0361
9-Jun-21,1164.2,1160.1,1199,1142.1,0.31K,-0.0024
8-Jun-21,1167,1209.5,1209.5,1158.2,0.30K,-0.0444
7-Jun-21,1221.2,1228.4,1259.9,1221.2,0.27K,-0.0491
4-Jun-21,1284.2,1291.3,1315.5,1284.2,0.13K,-0.0317
3-Jun-21,1326.2,1345,1380,1279.3,0.34K,-0.0032
2-Jun-21,1330.5,1249,1330.5,1205.1,0.40K,0.0497
1-Jun-21,1267.5,1315,1322,1267.5,0.25K,-0.0321
28-May-21,1309.5,1303.5,1338.5,1287.1,0.21K,-0.0102
27-May-21,1323,1328.4,1379.7,1303.8,0.22K,-0.0122
26-May-21,1339.4,1361.6,1430.5,1334,0.56K,-0.0412
25-May-21,1397,1421.3,1442,1397,0.19K,-0.0292
24-May-21,1439,1507.1,1514.8,1390,0.55K,-0.0096
21-May-21,1453,1445,1453,1430.3,0.25K,0.0453
20-May-21,1390,1385.2,1390,1352.2,0.25K,0.0475
19-May-21,1327,1201,1327,1201,0.64K,0.0498
18-May-21,1264,1273.8,1289.6,1264,0.32K,-0.0475
17-May-21,1327,1376.3,1376.3,1327,0.47K,-0.1526
14-May-21,1566,1540,1560,1540,0.01K,-0.0393
13-May-21,1630,1630,1675,1577.4,0.04K,0.0124
12-May-21,1610,1590,1638.4,1570,0.05K,-0.0121
11-May-21,1629.8,1585.5,1630,1550.5,0.09K,0.018
10-May-21,1601,1666.8,1711.2,1600,0.10K,-0.0504
7-May-21,1686,1677,1702,1652,0.06K,0.0249
6-May-21,1645,1622.6,1700,1622.6,0.07K,0.0062
5-May-21,1634.9,1639,1639,1585,0.05K,0.0161
4-May-21,1609,1592,1615,1589.7,0.08K,0.0212
3-May-21,1575.6,1520.6,1600,1520.6,0.16K,0.05
30-Apr-21,1500.5,1460.6,1502.3,1460,0.15K,0.0318
29-Apr-21,1454.3,1425.5,1454.3,1425.1,0.19K,0.0225
28-Apr-21,1422.3,1421.7,1452.2,1391.4,0.18K,0.0013
27-Apr-21,1420.5,1460.7,1468.5,1374.1,0.23K,0
26-Apr-21,1420.5,1385.8,1420.5,1385.7,0.14K,0.035
23-Apr-21,1372.5,1340.2,1372.5,1340.2,0.21K,0.0362
22-Apr-21,1324.5,1297.1,1324.5,1297,0.22K,0.0248
21-Apr-21,1292.5,1251.7,1311.2,1243.7,0.55K,0.0108
20-Apr-21,1278.7,1349.5,1374.7,1278.7,0.48K,-0.0362
19-Apr-21,1326.7,1291.7,1326.7,1287.5,0.14K,0.0247
16-Apr-21,1294.7,1284.7,1300,1263.9,0.38K,0.027
15-Apr-21,1260.7,1235.7,1260.7,1225.8,0.25K,0.0396
