Date,Price,Open,High,Low,Vol.,Change %
13-Aug-21,1780.3,1759.8,1783.5,1758.5,0.97K,0.0151
12-Aug-21,1753.8,1754.6,1760.5,1745.3,2.63K,-0.0009
11-Aug-21,1755.4,1732.3,1757.8,1728,3.17K,0.0125
10-Aug-21,1733.7,1734,1740.4,1720.7,3.72K,0.003
9-Aug-21,1728.6,1766,1766.4,1680,3.69K,-0.0207
6-Aug-21,1765.1,1806.8,1806.8,1762,3.61K,-0.0253
5-Aug-21,1810.9,1816.6,1818.9,1802.1,0.83K,-0.003
4-Aug-21,1816.4,1820.4,1837.4,1811.1,1.57K,0.0002
3-Aug-21,1816.1,1817.9,1819.2,1811.8,1.46K,-0.0044
2-Aug-21,1824.2,1818.6,1825.1,1811.3,1.28K,0.0028
30-Jul-21,1819.1,1834.7,1836.1,1817.1,1.08K,-0.0101
29-Jul-21,1837.7,1813.5,1838.7,1813.5,4.34K,0.0173
28-Jul-21,1806.5,1810.3,1815.6,1798,6.00K,0.0004
27-Jul-21,1805.7,1802.9,1810.3,1799.1,2.30K,0.0003
26-Jul-21,1805.1,1808,1816.1,1802.3,1.41K,-0.0013
23-Jul-21,1807.5,1812.8,1813.3,1795.2,2.34K,-0.0019
22-Jul-21,1811,1806.7,1813.4,1798.2,0.83K,0.0011
21-Jul-21,1809.1,1814.5,1817.5,1800,1.56K,-0.0043
20-Jul-21,1817,1819.4,1830.7,1811.4,1.33K,0.0011
19-Jul-21,1815,1818.2,1821.8,1801.3,2.07K,-0.0033
16-Jul-21,1821.1,1837.6,1837.6,1815.6,2.61K,-0.0076
15-Jul-21,1835,1834.1,1840.3,1826.8,1.39K,0.0022
14-Jul-21,1831,1813.2,1835.2,1811.6,4.39K,0.0083
13-Jul-21,1815.9,1814.3,1821,1808.3,3.44K,0.0022
12-Jul-21,1811.9,1814.6,1814.7,1797.2,2.97K,-0.0026
9-Jul-21,1816.7,1809,1818.7,1803,4.97K,0.0058
8-Jul-21,1806.2,1809.9,1824.4,1799.6,3.54K,-0.001
7-Jul-21,1808,1805.3,1815.3,1803.6,1.38K,0.0043
6-Jul-21,1800.2,1793.7,1821.2,1793.4,0.98K,0.005
5-Jul-21,1791.3,1786.5,1794.65,1784.75,-,0.0027
4-Jul-21,1786.4,1788,1788,1785.8,-,-0.0016
2-Jul-21,1789.3,1783,1800.9,1781,0.51K,0.0037
1-Jul-21,1782.7,1776,1789,1775,0.42K,0.0028
30-Jun-21,1777.7,1770,1779.2,1759.5,0.48K,0.0046
29-Jun-21,1769.5,1781,1782.6,1757.6,0.89K,-0.0097
28-Jun-21,1786.9,1788.2,1791.2,1780.2,0.48K,0.0016
25-Jun-21,1784,1783,1797,1782.6,0.52K,0.0007
24-Jun-21,1782.8,1784.8,1794,1778.9,0.26K,-0.0038
23-Jun-21,1789.6,1787.4,1801,1780.4,0.29K,0.0035
22-Jun-21,1783.4,1791.3,1793.8,1777.2,0.54K,-0.003
21-Jun-21,1788.8,1770,1792,1770,0.28K,0.0079
18-Jun-21,1774.8,1786.1,1800.8,1768.8,0.70K,-0.0032
17-Jun-21,1780.5,1818.7,1830.1,1774,0.93K,-0.0464
16-Jun-21,1867.2,1863.7,1868.5,1814.1,0.92K,0.0027
15-Jun-21,1862.2,1871.5,1876.1,1859,0.26K,-0.0051
14-Jun-21,1871.8,1882.7,1882.7,1852,0.54K,-0.0073
11-Jun-21,1885.5,1910.2,1910.5,1883,0.65K,-0.0088
10-Jun-21,1902.2,1894.8,1907.6,1880.6,4.54K,0.0004
9-Jun-21,1901.4,1900.7,1903,1896.9,0.15K,0.0006
8-Jun-21,1900.3,1904.5,1910,1895.2,0.90K,-0.0023
7-Jun-21,1904.6,1890.9,1908.2,1890.9,0.68K,0.0036
4-Jun-21,1897.7,1874.4,1902.6,1861.8,0.54K,0.0099
3-Jun-21,1879.1,1912.3,1912.3,1873.9,0.68K,-0.0192
2-Jun-21,1915.8,1904.3,1916.1,1903.8,0.60K,0.0026
